,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
235,"[1548, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[2571, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[223, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[383, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2529, -1.4, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[2944, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1925, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1666, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1506, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2651, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]"
236,"[2971, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1317, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2168, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2216, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2875, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1989, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[2625, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2163, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2081, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[487, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
237,"[540, -0.7799999999999999, [-0.14, -0.05, -0.7, 0.01, 0, 0, 0]]","[632, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2615, -0.07999999999999999, [-0.14, -0.05, 0, 0.01, 0, 0, 0]]","[2041, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[2988, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[334, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[934, -0.36, [-0.14, -0.05, -0.13, 0.01, 0, 0, -0.15]]","[483, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2275, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2936, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
238,"[2831, -1.1799999999999997, [-0.14, -0.05, -0.7, 0.28, -0.67, 0, 0]]","[1319, 0.14, [-0.14, 0.16, 0, 0, 0, 0.17, -0.15]]","[2178, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1134, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[150, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1636, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[464, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1444, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[190, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[41, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
239,"[688, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2957, -0.58, [-0.14, 0.16, -0.7, 0, 0, 0, 0]]","[2772, 0.20000000000000004, [0, -0.05, -0.13, 0.28, 0, 0, 0]]","[2356, 0.30000000000000004, [-0.14, 0.16, 0, 0.01, 0, 0.17, 0]]","[2043, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[995, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2022, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2958, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[938, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2247, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
240,"[1108, -0.44999999999999996, [-0.14, 0.16, -0.7, 0.28, 0, 0, -0.15]]","[1740, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[853, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[2817, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1428, 0.20000000000000004, [0, -0.05, -0.13, 0.28, 0, 0, 0]]","[526, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[37, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1942, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1131, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1417, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]"
241,"[2146, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[1515, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1489, -1.4, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[1892, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2522, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1602, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[538, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1454, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2498, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[236, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]"
242,"[1059, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2158, -0.07999999999999999, [0, -0.05, -0.13, 0, 0, 0, 0]]","[1507, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[365, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2640, -0.1599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[411, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1930, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[2060, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2333, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1662, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]"
243,"[218, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1795, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1501, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[339, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2495, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[838, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2543, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1885, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2358, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[42, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]"
244,"[2982, -0.5099999999999999, [-0.14, -0.05, -0.7, 0.28, 0, 0, 0]]","[89, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[969, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1596, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[861, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[301, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[428, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[482, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2913, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[119, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
