,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
83,"[1798, -0.57, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[798, -0.2799999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0.17, -0.15]]","[547, 0.27, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[301, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1855, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[571, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1629, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[275, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[1388, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[299, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
84,"[929, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[32, -0.6599999999999999, [-0.14, -0.05, -0.7, 0.28, 0, 0, -0.15]]","[2058, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1408, -0.58, [-0.14, 0.16, -0.7, 0, 0, 0, 0]]","[2645, -0.58, [-0.14, 0.16, -0.7, 0, 0, 0, 0]]","[2245, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2712, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1425, 0.060000000000000026, [-0.14, -0.05, -0.13, 0.28, 0, 0, 0]]","[142, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[1668, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]"
85,"[196, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1567, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[415, -0.58, [-0.14, 0.16, -0.7, 0, 0, 0, 0]]","[1455, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2693, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1351, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2896, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1639, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1456, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[717, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
86,"[1064, -0.07999999999999999, [0, -0.05, -0.13, 0, 0, 0, 0]]","[1412, -0.37, [0, -0.05, -0.7, 0.28, 0, 0, 0]]","[1180, -0.7899999999999999, [-0.14, -0.05, -0.7, 0, 0, 0, 0]]","[572, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[55, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[2695, -0.23999999999999996, [-0.14, -0.05, 0, 0, 0, 0, -0.15]]","[866, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2762, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[470, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2683, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]"
87,"[2342, 0.27, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[139, -1.4, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[2182, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2988, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[1846, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[915, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[737, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2691, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[35, -1.1199999999999997, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, -0.15]]","[1687, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
88,"[2528, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[2230, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[370, -1.4, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[2336, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1223, -1.1400000000000001, [0, -0.05, -0.7, 0.01, -0.67, 0.17, 0]]","[2836, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1131, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2513, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2577, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[1968, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]"
89,"[1268, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1044, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2235, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1678, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2476, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2516, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[309, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[834, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1363, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1768, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
90,"[2323, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1732, 0.27, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[2670, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[207, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[627, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1786, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[2211, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2068, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1908, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[867, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
91,"[2225, -0.29999999999999993, [-0.14, 0.16, -0.7, 0.28, 0, 0, 0]]","[2542, 0.27, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[310, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[432, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2998, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[609, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2566, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[706, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1278, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1499, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
92,"[450, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[857, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2301, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1013, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2572, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[687, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1773, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1416, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1944, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2491, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
