,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
60,"[174, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2934, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[139, -1.2199999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, -0.15]]","[540, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1947, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1461, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2992, -1.5499999999999998, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2161, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[418, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2849, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
61,"[1725, -0.5499999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0, -0.15]]","[2166, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2230, -1.5499999999999998, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[1314, -0.8999999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0.17, 0]]","[437, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2052, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[2088, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[33, -0.6799999999999999, [-0.14, 0.16, -0.7, 0, 0, 0, 0]]","[444, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1332, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]"
62,"[685, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[184, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[1732, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[729, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2073, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[2687, 0.01999999999999999, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[920, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[389, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2815, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[305, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]"
63,"[1231, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2744, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[857, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2845, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2179, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2120, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[658, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2568, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2210, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[347, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
64,"[1965, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2759, -1.71, [-0.14, -0.05, -0.7, 0, -0.67, 0, -0.15]]","[2030, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[1728, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2488, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1184, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2101, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1431, -0.12, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[464, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[1791, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
65,"[93, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[532, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[1078, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2732, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2997, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1512, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2803, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[2842, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[638, -0.82, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[2534, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]"
66,"[1641, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2873, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2531, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2940, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2894, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[1709, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[172, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2612, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2590, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2094, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
67,"[2909, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2705, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[533, 0.10000000000000003, [0, -0.05, -0.13, 0.28, 0, 0, 0]]","[523, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2763, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2480, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2621, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1469, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2843, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1591, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]"
68,"[2045, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[761, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[942, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[253, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1735, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[326, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2386, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1024, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[153, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1864, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
69,"[495, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[535, 0.23000000000000004, [0, -0.05, 0, 0.28, 0, 0, 0]]","[1551, -0.5499999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0, -0.15]]","[1021, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[1896, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[628, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[1061, -0.19, [-0.14, -0.05, 0, 0, 0, 0, 0]]","[2131, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2806, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[1819, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]"
