,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,"[1801, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1801, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[408, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[408, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[408, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1298, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2414, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[879, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[879, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[879, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
1,"[1190, -0.57, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[2505, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2579, -0.1599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[2579, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2579, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2414, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[879, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1762, -0.07999999999999999, [0, -0.05, -0.13, 0, 0, 0, 0]]","[1762, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[335, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
2,"[2505, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[2113, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2776, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1073, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[472, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[879, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1762, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[2934, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[335, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1020, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]"
3,"[2113, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[408, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[1073, -0.73, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[472, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1298, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1762, 0.060000000000000005, [0, -0.05, 0, 0.01, 0, 0, 0]]","[2934, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[80, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2056, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1313, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
4,"[408, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2579, -0.1599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[472, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[1298, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[152, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[2934, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[2307, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2190, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1020, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1194, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
5,"[2579, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[52, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2546, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[194, -1.4, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[1842, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2307, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[256, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1057, 0.15000000000000002, [-0.14, 0.16, 0, 0.01, 0, 0.17, -0.15]]","[1313, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[649, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]"
6,"[52, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1763, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0.17, 0]]","[44, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[152, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[2414, 0.25000000000000006, [-0.14, 0.16, 0, 0.28, 0, 0, -0.15]]","[256, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[80, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[30, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1194, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[596, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
7,"[1763, -1.08, [-0.14, 0.16, -0.7, 0, -0.67, 0.17, 0]]","[2776, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1005, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[1842, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[174, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1992, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2190, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[507, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[649, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1482, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
8,"[2776, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1073, -0.73, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[1298, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2414, 0.25000000000000006, [-0.14, 0.16, 0, 0.28, 0, 0, -0.15]]","[879, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[80, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[1057, 0.15000000000000002, [-0.14, 0.16, 0, 0.01, 0, 0.17, -0.15]]","[335, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[596, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2095, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]"
9,"[900, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[472, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[194, -1.1199999999999997, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, -0.15]]","[174, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1762, 0.05, [0, -0.05, 0, 0, 0, 0, 0]]","[1831, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[30, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[694, -0.2799999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0.17, -0.15]]","[1482, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1089, -1.5999999999999996, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, -0.15]]"
10,"[1073, -0.73, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[2546, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2425, 0.31000000000000005, [0, 0.16, -0.13, 0.01, 0, 0.17, 0]]","[1607, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2164, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2190, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1672, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[2056, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1013, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[464, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
11,"[472, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[44, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[152, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[879, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1840, 0.27, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[1057, 0.15000000000000002, [-0.14, 0.16, 0, 0.01, 0, 0.17, -0.15]]","[370, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[1020, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2095, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[2647, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
12,"[2546, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[289, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1694, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[1762, 0.060000000000000005, [0, -0.05, 0, 0.01, 0, 0, 0]]","[2934, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[30, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[507, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2777, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2118, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1101, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
13,"[44, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[912, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[2724, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2528, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2618, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1672, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[335, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[1313, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1089, -1.6099999999999999, [-0.14, -0.05, -0.7, 0, -0.67, 0, -0.15]]","[1259, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
14,"[289, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[1241, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1842, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[2225, -0.1599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[2307, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1055, 0.27, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[694, -0.5599999999999999, [-0.14, 0.16, -0.7, 0, 0, 0.17, -0.15]]","[2467, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[464, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2815, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
15,"[912, -0.1599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[1005, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[1820, -1.31, [0, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2164, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1429, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[370, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[515, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1194, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1382, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2009, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
16,"[2083, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1298, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2001, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[1840, 0.27, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[256, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[507, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2056, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[749, 0.31000000000000005, [0, 0.16, -0.13, 0.01, 0, 0.17, 0]]","[2647, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2486, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
17,"[1360, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[194, -1.1199999999999997, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, -0.15]]","[2414, 0.25000000000000006, [-0.14, 0.16, 0, 0.28, 0, 0, -0.15]]","[2934, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[1992, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[335, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[1020, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[649, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1101, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2990, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
18,"[2603, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[2425, 0.31000000000000005, [0, 0.16, -0.13, 0.01, 0, 0.17, 0]]","[2631, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[978, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[80, -0.72, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[694, -0.5599999999999999, [-0.14, 0.16, -0.7, 0, 0, 0.17, -0.15]]","[2777, -1.46, [-0.14, -0.05, -0.7, 0, -0.67, 0, 0]]","[596, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1259, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1934, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]"
19,"[1226, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2111, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[174, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2618, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1831, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[515, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2149, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[1482, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2815, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1713, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
20,"[1241, 0.27, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[152, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1607, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2307, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[141, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2056, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1313, -1.4, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[1013, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1227, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1154, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]"
21,"[1005, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[612, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[93, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1429, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2190, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1957, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2467, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2095, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2009, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1345, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
22,"[781, -0.73, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[842, 0.25000000000000006, [-0.14, 0.16, 0, 0.28, 0, 0, -0.15]]","[2132, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[256, 0.25000000000000006, [-0.14, 0.16, 0, 0.28, 0, 0, -0.15]]","[1057, 0.14, [-0.14, 0.16, 0, 0, 0, 0.17, -0.15]]","[2653, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1773, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1698, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2486, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2422, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]"
23,"[1298, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1694, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[1991, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1992, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[30, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1020, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1194, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2118, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2990, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2548, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]"
