,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,"[1801, 0.01999999999999999, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1801, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[408, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[408, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[408, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[1298, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2414, -0.13, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[879, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[879, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[879, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
1,"[1190, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[2505, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2579, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[2579, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2579, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2414, -0.12, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[879, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1762, -0.18, [0, -0.05, -0.13, 0, 0, 0, 0]]","[1762, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[335, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
2,"[2505, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[2113, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2776, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1073, -0.82, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[472, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[879, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1762, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[2934, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[335, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1020, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]"
3,"[2113, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[408, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[1073, -0.83, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[472, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[1298, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1762, -0.04, [0, -0.05, 0, 0.01, 0, 0, 0]]","[2934, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[80, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2056, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1313, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
4,"[408, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2579, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[472, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[1298, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[152, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[2934, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[2307, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2190, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1020, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1194, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
5,"[2579, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[52, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2546, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[194, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[1842, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2307, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[256, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1057, 0.05000000000000002, [-0.14, 0.16, 0, 0.01, 0, 0.17, -0.15]]","[1313, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[649, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]"
6,"[52, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[1763, -1.17, [-0.14, 0.16, -0.7, 0.01, -0.67, 0.17, 0]]","[44, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[152, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[2414, 0.15000000000000005, [-0.14, 0.16, 0, 0.28, 0, 0, -0.15]]","[256, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[80, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[30, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1194, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[596, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]"
7,"[1763, -1.1800000000000002, [-0.14, 0.16, -0.7, 0, -0.67, 0.17, 0]]","[2776, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1005, -0.12, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[1842, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[174, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1992, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2190, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[507, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[649, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1482, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
8,"[2776, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[1073, -0.83, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[1298, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2414, 0.15000000000000005, [-0.14, 0.16, 0, 0.28, 0, 0, -0.15]]","[879, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[80, -0.82, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[1057, 0.05000000000000002, [-0.14, 0.16, 0, 0.01, 0, 0.17, -0.15]]","[335, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[596, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2095, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]"
9,"[900, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[472, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[194, -1.2199999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, -0.15]]","[174, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1762, -0.05, [0, -0.05, 0, 0, 0, 0, 0]]","[1831, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[30, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[694, -0.3799999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0.17, -0.15]]","[1482, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1089, -1.6999999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, -0.15]]"
10,"[1073, -0.83, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[2546, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2425, 0.21000000000000002, [0, 0.16, -0.13, 0.01, 0, 0.17, 0]]","[1607, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2164, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[2190, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1672, -0.82, [-0.14, 0.16, -0.7, 0.01, 0, 0, -0.15]]","[2056, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1013, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[464, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
11,"[472, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[44, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[152, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[879, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1840, 0.17, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[1057, 0.05000000000000002, [-0.14, 0.16, 0, 0.01, 0, 0.17, -0.15]]","[370, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[1020, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2095, 0.01999999999999999, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[2647, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
