,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
69,"[2132, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[211, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1128, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2214, 0.01999999999999999, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[480, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[639, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1652, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[434, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[935, 0.13000000000000003, [-0.14, -0.05, -0.13, 0.28, 0, 0.17, 0]]","[756, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
70,"[0, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1362, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[2539, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[1339, -0.13, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[2660, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1354, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[687, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2751, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2015, -0.12, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[97, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
71,"[314, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[2151, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[601, -0.5499999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0, -0.15]]","[421, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2818, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1719, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[585, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[490, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[747, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1578, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
72,"[1272, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2206, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2547, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2376, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1699, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1729, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2990, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1976, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[181, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1056, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]"
73,"[1941, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1710, -0.3999999999999999, [-0.14, 0.16, -0.7, 0.28, 0, 0, 0]]","[1178, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1356, -0.03999999999999998, [-0.14, -0.05, -0.13, 0.28, 0, 0, 0]]","[2105, 0.17, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[1033, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2713, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1811, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1914, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1784, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
74,"[1316, -0.04, [0, -0.05, 0, 0.01, 0, 0, 0]]","[2123, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[2682, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[69, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[136, -0.13, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[2933, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[465, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2620, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2518, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[428, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]"
75,"[1200, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[798, 0.01999999999999999, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[2611, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1871, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[914, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[720, 0.17, [-0.14, 0.16, -0.13, 0.28, 0, 0, 0]]","[2424, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[491, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[664, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2420, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]"
76,"[2174, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[80, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[547, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[2207, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[313, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2095, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2350, 0.21000000000000002, [0, 0.16, -0.13, 0.01, 0, 0.17, 0]]","[843, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1676, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[148, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
77,"[879, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2213, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[2058, -1.4100000000000001, [0, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2676, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[505, -1.03, [0, 0.16, -0.7, 0.01, -0.67, 0.17, 0]]","[2281, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2382, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1371, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1855, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[536, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
78,"[765, -0.2599999999999999, [0, 0.16, -0.7, 0.28, 0, 0, 0]]","[1321, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[1755, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[777, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2782, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2044, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2452, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[2366, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[1188, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1747, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
